Temperature,Humidity,Pressure,Battery
24.07,47.56,101376.63,96
24.08,47.50,101384.59,96
24.10,47.49,101385.27,96
24.13,47.44,101380.37,95
24.13,47.37,101377.59,96
24.16,47.34,101380.00,96
24.32,47.68,101382.59,96
24.33,47.66,101380.88,96
24.33,47.54,101389.91,96
24.32,47.39,101388.16,96
24.34,47.26,101389.91,96
24.38,47.17,101389.55,96
24.37,47.20,101381.87,96
24.43,47.60,101383.22,48
24.44,47.41,101390.50,42
24.44,47.40,101386.86,40
24.44,47.14,101385.80,38
24.46,46.99,101390.11,36
24.50,46.95,101388.02,36
24.53,46.85,101388.48,35
24.54,46.79,101383.58,34
24.56,46.70,101392.81,33
24.56,46.61,101383.41,33
24.60,46.55,101388.58,33
24.62,46.53,101392.71,32
24.73,47.27,101386.67,30
25.59,48.23,101390.22,30
25.32,47.19,101385.23,30
25.17,46.58,101392.73,30
25.07,46.41,101390.94,30
25.03,46.27,101389.59,30
24.99,46.10,101392.95,29
24.95,46.01,101390.58,29
24.95,45.95,101392.46,29
24.94,46.00,101391.60,29
24.95,45.88,101388.66,28
24.96,45.81,101391.89,28
25.02,46.07,101396.22,28
24.99,46.03,101385.27,28
25.00,45.93,101390.66,28
25.02,45.81,101397.73,28
25.04,45.68,101393.23,26
25.06,45.70,101383.66,27
25.06,45.63,101391.80,27
25.09,45.58,101390.56,26
25.10,45.53,101393.15,26
25.13,45.53,101394.87,26
25.16,45.50,101385.45,26
25.13,45.43,101394.87,26
25.13,45.46,101388.23,25
25.13,45.44,101394.87,25
25.12,45.37,101385.45,25
25.14,45.97,101392.73,25
25.14,45.79,101388.03,25
25.14,45.64,101395.53,25
25.16,45.53,101396.22,25
25.18,45.51,101388.52,25
25.20,45.38,101395.81,25
25.20,45.35,101395.81,25
25.18,45.21,101391.30,24
25.19,45.16,101390.24,24
25.18,45.10,101394.95,24
25.22,45.12,101384.30,23
25.21,45.09,101389.87,24
25.22,45.08,101389.87,24
25.21,45.08,101388.11,24
25.23,45.07,101396.30,23
25.23,45.06,101398.88,23
25.25,45.06,101390.31,23
25.27,45.04,101392.03,23
25.28,44.99,101394.65,23
25.26,45.08,101394.65,23
25.26,45.08,101397.60,23
25.28,45.05,101391.17,23
25.27,45.12,101386.47,23
25.27,45.07,101392.03,23
25.29,45.10,101394.45,23
25.32,45.04,101394.23,23
25.30,45.01,101394.23,23
25.32,44.99,101389.73,23
25.32,44.97,101392.11,23
25.33,44.90,101392.11,22
25.32,44.92,101396.16,23
25.33,44.82,101395.95,22
25.34,44.90,101396.61,22
25.36,44.88,101388.95,22
25.35,44.84,101393.66,22
25.36,44.84,101390.88,22
25.34,44.85,101391.05,22
25.35,44.84,101386.55,22
25.34,44.85,101392.97,22
25.34,44.87,101390.02,22
25.38,44.88,101393.45,22
25.38,44.84,101394.31,22
25.39,44.83,101396.89,22
25.39,44.81,101393.45,22
25.37,44.78,101391.73,21
25.37,44.71,101388.95,22
25.41,45.15,101388.16,22
25.39,45.11,101386.82,22
25.36,45.03,101390.02,22
25.38,45.12,101390.67,92
25.37,44.97,101383.59,93
25.34,44.98,101396.61,93
25.31,44.87,101394.45,94
25.27,44.87,101391.86,95
25.32,44.93,101398.74,95
25.30,44.84,101390.80,95
25.30,44.78,101395.51,95
25.26,44.94,101392.90,95
25.29,44.95,101389.08,95
25.34,44.95,101392.11,96
25.36,44.89,101391.73,95
25.40,44.81,101394.11,96
25.38,44.97,101384.03,96
25.35,44.96,101399.39,96
25.33,44.88,101387.61,96
25.35,44.86,101392.11,96
25.31,44.81,101398.09,96
25.29,44.80,101391.86,96
25.28,44.90,101394.65,96
25.28,44.75,101389.08,96
25.28,44.76,101389.08,96
25.31,44.74,101391.45,96
25.28,44.75,101395.51,96
25.25,44.74,101396.74,96
25.26,44.75,101382.83,96
25.30,44.80,101393.38,96
25.34,44.80,101397.68,96
25.35,44.62,101394.72,96
25.34,44.76,101397.50,96
25.33,44.71,101390.39,96
25.38,44.73,101384.03,96
25.40,44.70,101390.09,96
25.47,44.72,101383.91,96
25.50,44.59,101386.30,96
25.49,44.63,101388.41,96
25.51,44.61,101388.03,96
25.47,44.56,101391.19,96
25.45,44.52,101393.32,96
25.47,44.41,101386.69,96
25.44,44.45,101388.16,96
25.42,44.41,101396.69,96
25.41,44.46,101388.33,96
25.38,44.45,101385.10,96
25.36,44.54,101399.23,96
25.32,44.54,101392.31,96
25.33,44.65,101395.95,96
25.30,44.61,101392.52,96
25.28,44.47,101398.95,96
25.34,44.73,101399.39,96
25.35,44.67,101400.09,96
25.34,44.66,101396.82,96
25.30,44.75,101397.23,96
25.30,44.74,101400.88,96
25.31,44.64,101395.09,96
25.34,44.64,101400.29,96
25.36,44.60,101395.58,96
25.37,44.51,101401.15,96
25.38,44.53,101399.02,96
25.37,44.39,101396.23,96
25.36,44.53,101394.52,96
25.37,44.51,101397.30,96
25.37,44.51,101400.74,96
25.37,44.50,101391.73,96
25.36,44.49,101402.88,96
25.36,44.51,101402.88,96
25.38,44.54,101399.02,96
25.39,44.59,101396.03,96
25.40,44.59,101404.18,96
25.39,44.56,101399.02,96
25.37,44.53,101402.88,96
25.36,44.50,101402.88,96
25.36,44.47,101401.15,96
25.36,44.49,101396.44,96
25.36,44.47,101397.30,96
25.37,44.47,101401.15,96
25.37,44.45,101402.88,96
25.37,44.45,101402.01,96
25.35,44.45,101404.80,96
25.34,44.46,101404.97,96
25.38,44.46,101401.80,96
25.40,44.46,101398.61,96
25.43,44.46,101401.02,96
25.43,44.43,101398.23,96
25.43,44.38,101401.88,96
25.43,44.37,101403.80,96
25.42,44.37,101401.22,96
25.42,44.36,101407.66,96
25.42,44.15,101409.38,96
25.43,44.34,101413.22,96
25.42,44.31,101406.59,96
25.43,44.45,101407.66,96
